"ID","ProductName","CurrentCategories","CategoryCount","SuggestedPrimary","SuggestedKeep","RemoveThese","Action","NeedsFix"
"18778","20FT Blast Freezer Container-40°F TO 70°F (460V/230V 3P)","Refrigerated Containers for sale | Up to -40° F Refrigerated Containers","2","Refrigerated Containers","Refrigerated Containers","Refrigerated Containers for sale | Up to -40° F Refrigerated Containers","Merge refrigerated duplicates","YES"
"18779","Container Ramp","Container Accessories","1","Container Accessories","Container Accessories | Parts & Accessories","","Merge Parts + Parts & Accessories","NO"
"18780","Cabin Linkway","Cabin Accessories & Furniture","1","Cabin Accessories & Furniture","Cabin Accessories & Furniture","","Keep accessory type","NO"
"18781","20ft. Mobile Office/Cabin","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18782","16Ft Storage Container With Roll-Up Door","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18783","16Ft x 10Ft Site Office / Jackleg Cabin","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18784","20ft High Cube Fixed Glazing Observation Container","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18785","Shipping Container Cafe – Container Restaurants","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18786","30ft ModiBox Office","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18787","Wood-Effect Flat Packed Storage Container 2M X 2.1M","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18788","Flat Pack Metal Garden Store","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18789","45Ft Hc Used Shipping Container High Cube Wind And Watertight-Cargo Worthy","45Ft Containers","1","45Ft Containers","45Ft Containers","","OK - size category","NO"
"18790","45FT High Cube Shipping Container","Cabins for Sale | Containers for Sale","2","Cabins for Sale","Cabins for Sale","Containers for Sale","OK","YES"
"18791","Cube Shipping Carbon Steel Container","Carbon Steel Container","1","Carbon Steel Container","Carbon Steel Container","","Review","NO"
"18792","20ft Dry Intermediate Bulk Storage Top Loading Shipping Container","Cabins for Sale | Containers for Sale","2","Cabins for Sale","Cabins for Sale","Containers for Sale","OK","YES"
"18793","20ft Bulk Storage ISO Type Dry Cargo Shipping Container","Cabins for Sale | Containers for Sale","2","Cabins for Sale","Cabins for Sale","Containers for Sale","OK","YES"
"18794","40 Ft Hc Used Shipping Containers High Cube Wind And Watertight Ipswich","40ft Containers","1","40ft Containers","40ft Containers","","OK - size category","NO"
"18795","16Ft Storage Container With Roll-Up Door","16ft Storage Containers | Storage Containers for Sale","2","16ft Storage Containers","16ft Storage Containers","Storage Containers for Sale","OK - size category","YES"
"18796","Pink 20 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18797","20 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18798","20 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18799","30 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18800","40 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18801","30 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18802","40 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18803","40 Ft Container Pool","Shipping Container Pool","1","Shipping Container Pool","Shipping Container Pool","","OK","NO"
"18804","1+1 Double Mains Toilet 8Ft x 5Ft (Green)","Cabins for Sale | Toilet & Shower Blocks for Sale","2","Cabins for Sale","Cabins for Sale","Toilet & Shower Blocks for Sale","OK","YES"
"18805","(3 Bay) Anti-Vandal Modular Building","Cabins for Sale","1","Cabins for Sale","Cabins for Sale","","OK","NO"
