"ID","ProductName","CurrentCategories","CategoryCount","SuggestedPrimary","SuggestedKeep","RemoveThese","Action","NeedsFix"
"19372","Shipping Container Vent with Bug Screen","Parts | Parts & Accessories","2","Container Accessories","Container Accessories | Parts & Accessories","Parts","Merge Parts + Parts & Accessories","YES"
"19373","SHIPPING CONTAINER CANOPY 40'","Modified Shipping Containers | Shipping Container Canopy Structures","2","Modified Shipping Containers","Modified Shipping Containers","Shipping Container Canopy Structures","Merge Modified Containers","YES"
"19404","Shipping Container Shelving Bracket, 3 Levels, 24""","Parts | Parts & Accessories","2","Container Accessories","Container Accessories | Parts & Accessories","Parts","Merge Parts + Parts & Accessories","YES"
"19405","SKYLIGHT","Parts | Parts & Accessories","2","Container Accessories","Container Accessories | Parts & Accessories","Parts","Merge Parts + Parts & Accessories","YES"
"19406","Solar Powered Shipping Container Roof Ventilation Fan","Parts | Parts & Accessories","2","Container Accessories","Container Accessories | Parts & Accessories","Parts","Merge Parts + Parts & Accessories","YES"
"19407","45-foot Shipping Container | W&amp;WT-CW","Wind & Watertight-Cargo Worthy","1","Wind & Watertight-Cargo Worthy","Wind & Watertight-Cargo Worthy","","Pick one used-type category","NO"
"19432","10’ Refurbished Shipping Container","Refurbished Shipping Containers","1","Refurbished Shipping Containers","Refurbished Shipping Containers","","Pick one used-type category","NO"
"19433","1-Trip 40-foot Shipping Container with Roll-Up Door","1-Trip Shipping Containers | Modified Shipping Containers","2","Modified Shipping Containers","Modified Shipping Containers","1-Trip Shipping Containers","Merge Modified Containers","YES"
"19434","20-foot High Cube Shipping Container Office 1-Trip","1-Trip Shipping Containers | Modified Shipping Containers | Shipping Container Offices","3","Shipping Container Offices","Shipping Container Offices | Container Home Office","1-Trip Shipping Containers | Modified Shipping Containers","Merge office categories","YES"
"19435","20-foot Shipping Container Office","Modified Shipping Containers | Shipping Container Offices","2","Shipping Container Offices","Shipping Container Offices | Container Home Office","Modified Shipping Containers","Merge office categories","YES"
"19465","20-foot Shipping Container with Roll-Up Door","Modified Shipping Containers","1","Modified Shipping Containers","Modified Shipping Containers","","Merge Modified Containers","NO"
"19466","20-foot Shipping Container with Roll-Up Door Grey RAL 7015","Modified Shipping Containers","1","Modified Shipping Containers","Modified Shipping Containers","","Merge Modified Containers","NO"
"19467","20-foot Double Door Shipping Container","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19468","20’ Shipping Container with Dual Roll-Up Doors","Modified Shipping Containers","1","Modified Shipping Containers","Modified Shipping Containers","","Merge Modified Containers","NO"
"19503","40x20 Shipping Container Canopy Structure","Modified Shipping Containers | Shipping Container Canopy Structures","2","Modified Shipping Containers","Modified Shipping Containers","Shipping Container Canopy Structures","Merge Modified Containers","YES"
"19504","40-foot Firework Stand","Modified Shipping Containers | Shipping Container Firework Stands","2","Modified Shipping Containers","Modified Shipping Containers","Shipping Container Firework Stands","Merge Modified Containers","YES"
"19505","1 Trip High Cube 40-foot Shipping Container for sale","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19506","Black 40-foot Shipping Container with Three Roll-Up Doors","Modified Shipping Containers","1","Modified Shipping Containers","Modified Shipping Containers","","Merge Modified Containers","NO"
"19535","10-foot High Cube Shipping Container Refurbished","Refurbished Shipping Containers","1","Refurbished Shipping Containers","Refurbished Shipping Containers","","Pick one used-type category","NO"
"19536","Used 10-foot Refurbished Shipping Container with Roll-Up Door RAL 1015","Modified Shipping Containers | Refurbished Shipping Containers | Wind & Watertight-Cargo Worthy","3","Modified Shipping Containers","Modified Shipping Containers","Refurbished Shipping Containers | Wind & Watertight-Cargo Worthy","Merge Modified Containers","YES"
"19537","Used 20-foot Shipping Container | Entry Door","Modified Shipping Containers | Wind & Watertight-Cargo Worthy","2","Modified Shipping Containers","Modified Shipping Containers","Wind & Watertight-Cargo Worthy","Merge Modified Containers","YES"
"19538","Used 20-foot Shipping Container | W&amp;WT-CW","Used Shipping Containers | Wind & Watertight-Cargo Worthy","2","Wind & Watertight-Cargo Worthy","Wind & Watertight-Cargo Worthy","Used Shipping Containers","Pick one used-type category","YES"
"19558","Used 40-foot Shipping Container | Entry Door","Modified Shipping Containers | Wind & Watertight-Cargo Worthy","2","Modified Shipping Containers","Modified Shipping Containers","Wind & Watertight-Cargo Worthy","Merge Modified Containers","YES"
"19559","Used 45-foot Shipping Container | Refurbished","Refurbished Shipping Containers | Wind & Watertight-Cargo Worthy","2","Refurbished Shipping Containers","Refurbished Shipping Containers","Wind & Watertight-Cargo Worthy","Pick one used-type category","YES"
"19560","20ft Trip Shipping Containers for Sale","1-Trip Shipping Containers | New Shipping Containers","2","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","New Shipping Containers","Merge new/1-trip","YES"
"19592","Used 40ft Shipping Containers for sale","1-Trip Shipping Containers | New Shipping Containers","2","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","New Shipping Containers","Merge new/1-trip","YES"
"19593","40ft High Cube Shipping Container","1-Trip Shipping Containers | New Shipping Containers","2","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","New Shipping Containers","Merge new/1-trip","YES"
"19594","Used 40-foot Shipping Container | W&amp;WT-CW","Used Shipping Containers | Wind & Watertight-Cargo Worthy","2","Wind & Watertight-Cargo Worthy","Wind & Watertight-Cargo Worthy","Used Shipping Containers","Pick one used-type category","YES"
